2018,1,1,1,0
2018,1,1,2,0
2018,1,1,3,0
2018,1,1,4,0
2018,1,1,5,0
2018,1,1,6,0
2018,1,1,7,0
2018,1,1,8,0
2018,1,1,9,66498
2018,1,1,10,113519
2018,1,1,11,148148
2018,1,1,12,178950
2018,1,1,13,185365
2018,1,1,14,166868
2018,1,1,15,177987
2018,1,1,16,278474
2018,1,1,17,185314
2018,1,1,18,0
2018,1,1,19,0
2018,1,1,20,0
2018,1,1,21,0
2018,1,1,22,0
2018,1,1,23,0
2018,1,1,24,0
2018,1,2,1,0
2018,1,2,2,0
2018,1,2,3,0
2018,1,2,4,0
2018,1,2,5,0
2018,1,2,6,0
2018,1,2,7,0
2018,1,2,8,0
2018,1,2,9,105829
2018,1,2,10,225501
2018,1,2,11,215054
2018,1,2,12,266773
2018,1,2,13,399022
2018,1,2,14,310003
2018,1,2,15,258429
2018,1,2,16,381896
2018,1,2,17,349953
2018,1,2,18,0
2018,1,2,19,0
2018,1,2,20,0
2018,1,2,21,0
2018,1,2,22,0
2018,1,2,23,0
2018,1,2,24,0
2018,1,3,1,0
2018,1,3,2,0
2018,1,3,3,0
2018,1,3,4,0
2018,1,3,5,0
2018,1,3,6,0
2018,1,3,7,0
2018,1,3,8,32024
2018,1,3,9,151878
2018,1,3,10,255033
2018,1,3,11,327835
2018,1,3,12,544262
2018,1,3,13,825571
2018,1,3,14,832092
2018,1,3,15,459967
2018,1,3,16,392069
2018,1,3,17,102524
2018,1,3,18,0
2018,1,3,19,0
2018,1,3,20,0
2018,1,3,21,0
2018,1,3,22,0
2018,1,3,23,0
2018,1,3,24,0
2018,1,4,1,0
2018,1,4,2,0
2018,1,4,3,0
2018,1,4,4,0
2018,1,4,5,0
2018,1,4,6,0
2018,1,4,7,0
2018,1,4,8,51941
2018,1,4,9,246667
2018,1,4,10,744063
2018,1,4,11,1203900
2018,1,4,12,1548913
2018,1,4,13,1737978
2018,1,4,14,1751076
2018,1,4,15,1638887
2018,1,4,16,1341668
2018,1,4,17,746115
2018,1,4,18,0
2018,1,4,19,0
2018,1,4,20,0
2018,1,4,21,0
2018,1,4,22,0
2018,1,4,23,0
2018,1,4,24,0
2018,1,5,1,0
2018,1,5,2,0
2018,1,5,3,0
2018,1,5,4,0
2018,1,5,5,0
2018,1,5,6,0
2018,1,5,7,0
2018,1,5,8,50645
2018,1,5,9,238591
2018,1,5,10,716770
2018,1,5,11,1145299
2018,1,5,12,1477260
2018,1,5,13,1625280
2018,1,5,14,1447089
2018,1,5,15,810062
2018,1,5,16,862509
2018,1,5,17,583116
2018,1,5,18,0
2018,1,5,19,0
2018,1,5,20,0
2018,1,5,21,0
2018,1,5,22,0
2018,1,5,23,0
2018,1,5,24,0
2018,1,6,1,0
2018,1,6,2,0
2018,1,6,3,0
2018,1,6,4,0
2018,1,6,5,0
2018,1,6,6,0
2018,1,6,7,0
2018,1,6,8,40680
2018,1,6,9,133121
2018,1,6,10,109047
2018,1,6,11,183400
2018,1,6,12,265076
2018,1,6,13,223832
2018,1,6,14,362084
2018,1,6,15,588975
2018,1,6,16,530763
2018,1,6,17,78608
2018,1,6,18,0
2018,1,6,19,0
2018,1,6,20,0
2018,1,6,21,0
2018,1,6,22,0
2018,1,6,23,0
2018,1,6,24,0
2018,1,7,1,0
2018,1,7,2,0
2018,1,7,3,0
2018,1,7,4,0
2018,1,7,5,0
2018,1,7,6,0
2018,1,7,7,0
2018,1,7,8,51090
2018,1,7,9,247196
2018,1,7,10,763647
2018,1,7,11,1221918
2018,1,7,12,1575316
2018,1,7,13,1740172
2018,1,7,14,1816576
2018,1,7,15,1698958
2018,1,7,16,1391633
2018,1,7,17,777291
2018,1,7,18,0
2018,1,7,19,0
2018,1,7,20,0
2018,1,7,21,0
2018,1,7,22,0
2018,1,7,23,0
2018,1,7,24,0
2018,1,8,1,0
2018,1,8,2,0
2018,1,8,3,0
2018,1,8,4,0
2018,1,8,5,0
2018,1,8,6,0
2018,1,8,7,0
2018,1,8,8,26161
2018,1,8,9,141192
2018,1,8,10,237799
